The Purple Sickle murders	Freeman Wills Crofts	75488
Deeds of heroism and bravery	Elwyn A. Barron	75487
Scotch marriages, vol. 1	Sarah Tytler	75486
The secret commonwealth of elves, fauns and fairies	Robert Kirk	75485
Anthropoid apes	Robert Hartmann	75484
Le spectre de M. Imberger	Frédéric Boutet	75483	French
Maisie's merry Christmas	Nina Rhoades	75482
Teltantekijän lauselmia	Omar Khaijam	75481	Finnish
Isä Johannes	Lauri Sauramo	75480	Finnish
Willow's forge	Sheila Kaye-Smith	75479
The crystal planetoids	Stanton A. Coblentz	75478
The sprightly romance of Marsac	Molly Elliott Seawell	75477
The poisoned chocolates case	Anthony Berkeley	75476
The girl he left behind	Helen Beecher Long	75475
Three little Trippertrots	Howard Roger Garis	75474
Brazil, the land of rubber	Brazilian Government	75473
and allied trades exhibition, New York, 1912
Vida de Don Quijote y Sancho : según Miguel de Cervantes Saavedra,	75472	Spanish
Rhoda's education;	Lucy Ellen Guernsey	75471
Das Land unserer Liebe	Walter Bloem	75470	German
Trading with Mexico	Wallace Thompson	75469
Koireen rannalla	Ssmo	75468	Finnish
Sweated industry and the minimum wage	Clementina Black	75467
Famous stories from foreign countries	Edna Worthley Underwood	75466
My friend Doggie	Geraldine Glasgow	75465
Principles of electricity	Maynard Shipley	75464
Red love	Alexandra Kollontay	75463
Songs and lyrics of Robert Burns,	75462
The case of Miss Elliott	Baroness Emmuska Orczy	75461
"They're a multitoode" and other stories	Various	75460
Le Père Lebonnard	Jean Aicard	75459
à la Comédie Française le 4 août 1904	French
Suomea ristiin ja rastiin	Ernst ampén	75458	Finnish
Perintö Reinin rannalla	René Schickele	75457	Finnish
Books and men	Agnes Repplier	75456
Eine Kindheitserinnerung des Leonardo da Vinci	Sigmund Freud	75455	German
Le Sud-Oranais: études floristiques et phytogéographiques faites au	75454
cours d'une exploration dans le Sud-Ouest de l'Algérie en 1901,	French
Our search for a wilderness	Mary Blair Beebe and C. William Beebe	75453
Archimedes; or, the future of physics	Lancelot Law Whyte	75452
The play's the thing	P. G. Wodehouse and Ferenc Molnár	75451
Der krasse Fuchs	Walter Bloem	75450	German
Chambers's Journal of Popular Literature, Science, and Art,	75449
Dorothy Dix--her book	Dorothy Dix	75448
Le mal d'aimer	Henri Ardel	75447	French
A history of Slavic studies in the United States,	75446
Rouva Meseck	Max Halbe	75445	Finnish
Suru-Runot Suomalaiset	Gabriel Joosefinpoika Calamnius	75444	Finnish
Venne Richerdes	Hermann Kassebaum	75443	German
Camp fires and camp cooking	James M. Sanderson	75442
Terror out of the past	Raymond Z. Gallun	75441
Monsieur Teste	Paul Valéry	75440	French
The King's English	Henry Watson Fowler and Francis George Fowler	75439
Corsairs of the cosmos	Edmond Hamilton	75438
Le Routier de la mer jusques au fleuve de Jourdain	Pierre Gracie	75437	French
The Desert Moon mystery	Kay Cleaver Strahan	75436
Fish preferred	P. G. Wodehouse	75435
The books of the Apocrypha	William O. E. Oesterley	75434
La puritaine et l'amour	Robert de Traz	75433	French
An account of the giants lately discovered	Anonymous	75432
Abracadabra & other satires	John Galsworthy	75431
Lapsuudenkoti	Selma Lagerlöf	75430	Finnish
Vähäinen cocous suomalaisista runoista,	75429	Finnish
Adrienne	Amy Le Feuvre	75428
The incredible slingshot bombs	Robert Moore Williams	75427
Geschichte des Araberaufstandes in Ost-Afrika	Rochus Schmidt	75426	German
Portuguese literature	Aubrey Bell	75425
Ruotsin suomalaismetsiä samoilemassa	Kaarle Aksel Gottlund	75424	Finnish
My life and balloon experiences	Henry Coxwell	75423
The sirens	Laurence Binyon	75422
Shell shock and its lessons	G. Elliot Smith	75421
Behind the prison bars	Enoch Edwin Byrum	75420
Poultry for profit	R. A. Power	75419
Ouroboros; or, the mechanical extension of mankind	Garet Garrett	75418
The story of Flamenca	Unknown	75417
Some great American books	Dallas Lore Sharp	75416
Spectacle secrets	George Cox	75415
Vildsomme Veje	Vilhemine Zahle	75414	Danish
The private journal of Judge-Advocate Larpent,	75413
The fatal three, Vol. 3	Mary Elizabeth Braddon	75412
The fatal three, Vol. 2	Mary Elizabeth Braddon	75411
The fatal three, Vol. 1	Mary Elizabeth Braddon	75410
Lo rondallayre	Francisco Maspons y Labrós	75409	Catalan
Hiram in the Middle West	Burbank L. Todd	75408
Tragedy at Ravensthorpe	J. J. Connington	75407
Silmä yössä	Maila Talvio	75406	Finnish
Kosken tarina	Kaarle Halme	75405	Finnish
Aunt Anne, Vol. 2 of 2	Sophia Lucy Clifford	75404
Aunt Anne, Vol. 1 of 2	Sophia Lucy Clifford	75403
Her own people	Bithia Mary Croker	75402
Ponies past and present	Sir Walter Gilbey	75401
The boys of Columbia High on the diamond	Graham B. Forbes	75400
The science of beauty, as developed in nature and applied in art,	75399
Les Vagabonds	Maxime Gorki	75398	French
Der Skorpion. Band 1	Anna Elisabet Weirauch	75397	German
Der Hafen	Else Rabe	75396	German
The Racer Boys on the prairies	Clarence Young	75395
The young naval captain	Captain Ralph Bonehill	75394
Was I right?	Mrs. O. F. Walton	75393
The wonders of radium	Maynard Shipley	75392
Ocellus Lucanus on the nature of the universe	Ocellus Lucanus	75391
Songs of the shining way	Sarah Noble-Ives	75390
Principles and practice of agricultural analysis,	75389
Sommerleutnants	Walter Bloem	75388	German
Kohtalon leikkiä	Liina Röösgrén	75387	Finnish
Kertomuksia ja kuvauksia elämästä	Liina Kataja	75386	Finnish
Jessie	Walter Aimwell	75385
The patient in Room 18	M. G. Eberhart	75384
The dangerous inheritance	Izola Forrester	75383
Obras Completas - Tomo XVII	José María de Pereda	75382	Spanish
Wreck of the "London"	Anonymous	75381
Dimple Dallas	Amy E Blanchard	75380
Les Pirates Chinois	Fanny Loviot	75379	French
Needwood Forest	Francis Noel Clarke Mundy	75378
The life of Henry Labouchere	Algar Labouchere Thorold	75377
Edaville Railroad	Linwood W. Moody	75376
Sen pitkää, sen lyhyttä	Tiitus	75375	Finnish
Mikko-sedän kesäsiirtola	J. P. Raivio	75374	Finnish
Essai d'éducation nationale ou plan d'études pour la jeunesse,	75373	French
Fenella	Henry Longan Stuart	75372
Das Cistercienserstift Heiligenkreuz in Niederösterreich,	75371	German
David goes to Greenland	David Binney Putnam	75370
The Pyrenees	Hilaire Belloc	75369
The Delinquent, Vol. 4, No. 8, August, 1914	Various	75368
Childhood in literature and art, with some observations on literature	75367
Woman's Voice	Josephine Conger-Kaneko	75366
Amurinmaan retki	F. H. B. Lagus	75365	Finnish
Enemies	Marian Isabel Hurrell	75364
The eater of souls	Henry Kuttner	75363
Die drei Ostindienfahrer	Christian August Fischer	75362	German
The basket maker	Luther Weston Turner	75361
The human foot and the human hand	George Murray Humphry	75360
The crime at Black Dudley	Margery Allingham	75359
Verzamelde Tooneelspelen	Herman Heijermans Jr. (1864-1924)	75358	Dutch
