The Raisin Industry	Gustav Eisen	54790
Poetical Works of Robert Bridges, Volume 1	Robert Bridges	54789
The Memoirs of François René Vicomte de Chateaubriand	54788
Il lampionaio	Maria Susanna Cummins	54787	Italian
Ihminen ja yli-ihminen	Bernard Shaw	54786	Finnish
Balmoedertje	E. Overduijn-Heyligers	54785	Dutch
Da Tang Sanzang Qujing Shihua	Various	54784	Chinese
Mary Gresley and an Editor's Tales	Anthony Trollope                  54783
Sketches from Eastern History	Theodor Nöldeke	54782
The Irish Penny Journal, Vol. 1 No. 33, February 13, 1841	Various	54781
Santa Claus' Daughter	Everett Elliott and F. W. Hardcastle           54780
Cheap Jack Zita	S. Baring-Gould                                      54779
A plain and literal translation of the Arabian nights	54778
Tien Fei Hsieng Seng Lu	Yao Yu Lin and Qi You Huang	54777	Chinese
Ordeal	Battle	Frederick Scott Oliver	54776
Circus Life and Circus Celebrities	Thomas Frost	54775
Fortunes and Dreams	Astra Cielo	54774
Excursions in Art and Letters	William Wetmore Story	54773
The Turning of the Tide	Elijah Kellogg                               54772
A Prince of Swindlers	Guy Boothby	54771
Turmion talo	Maiju Lassila	54770	Finnish
Kuoleman rajoilla	Maiju Lassila	54769	Finnish
Tarina kolmesta leijonasta	H. Rider Haggard	54768	Finnish
The Hard-Scrabble of Elm Island	Elijah Kellogg	54767
The Traitor	Thomas Dixon, Jr.	54766
The Leopard's Spots	Thomas Dixon, Jr.	54765
In The Sixties	Harold Frederic	54764
Little Homespun	Ruth Ogden	54763
Die krankheiterregenden Bakterien	Max Loehlein	54762	German
Children of Men	Rudolph Edgar Block	54761
The Earth and its inhabitants, Volume 1: Europe	Élisée Reclus	54760
Handbuch der Aquarellmalerei	Friedrich Jaennicke                     54759	German
Briefe aus Frankfurt und Paris 1848-1849, Vol. 2 of 2, 	54758	German
The Sultan and his People	C. Oscanyan	54757
Guanchang xianxing ji	Baojia Li	54756	Chinese
The Boy Scouts of Woodcraft Camp	Thornton W. Burgess	54755
Dissolving Views	Ferdinand Prantner	54754	German
Kalevala (1862)	Various	54753	Finnish
Catalogue of Practical and Scientific Books	Henry Carey Baird	54752
The War in Syria, Volume 2 of 2	Charles Napier	54751
Selvään veteen	Juhani Siljo	54750	Finnish
Billy To-morrow's Chums	Sarah Pratt Carr	54749
The Irish Penny Journal, Vol. 1 No. 32, February 6, 1841	Various	54748
Tom, Dick and Harriet	Ralph Henry Barbour	54747
Quaint and Historic Forts of North America	John Martin Hammond	54746
Kuningas Salomon kaivokset	H. Rider Haggard	54745	Finnish
Joel Sormensuo	Emil Lassinen	54744	Finnish
The Memoirs of François René Vicomte de Chateaubriand	54743
Morriña (Homesickness)	Emilia Pardo Bazán                            54742
A Sailor in Spite of Himself	Harry Castlemon                         54741
The Philippine Islands, 1493-1898: Volume XLVIII, 1751-1765	Various	54740
Noidan kirot	Väinö Kataja	54739	Finnish
Aus meinem Jugendland	Isolde Kurz	54738	German
Out for Business, or, Robert Frost's Strange Career,	54737
Bible Characters	Dwight Lyman Moody, T. De Witt Talmage,	54736
The Girl's Own Paper, Vol. XX, No. 995, January 21, 1899	Various	54735
Tales of Laughter	Kate Douglas Wiggin and Nora Archibald Smith	54734
The Manatitlans	R. Elton Smile	54733
Songs for the Little Ones at Home	Anonymous	54732
The Sieges of Vienna	the Turks	Karl August Schimmer	54731
Faust	Woldemar Nürnberger	54730	German
Wayward Winifred	Anna T. Sadlier                                     54729
Runousoppi	Aristotle                                                 54728	Finnish
Pfaffernüsseln	Max Wenzel                                            54727	German
The Ladies' Paradise	Émile Zola	54726
A Butterfly Chase	P. J. Stahl	54725
Folk Tales of Breffny	B. Hunt	54724
La Comédie humaine - Volume VIII	Honoré de Balzac	54723	French
The Irish Penny Journal, Vol. 1 No. 31, January 30, 1841	Various	54722
The Food Question	Various	54721
Three Years' Wanderings in the Northern Provinces of China,	54720
Happy Ending	Louise Imogen Guiney	54719
India Impressions	Walter Crane	54718
during a winter tour, 1906-7
Two Dramatizations from Vergil	54717
The Horse in America	John Gilmer Speed	54716
Nights with the Gods	Emil Reich	54715
Valéries duenna	Mary Elizabeth Blundell                              54714	Swedish
A Treatise on the Diseases Produced By Onanism, Masturbation,	54713
The Irish Penny Journal, Vol. 1 No. 30, January 23, 1841	Various	54712
The Shame of the Cities	Lincoln Steffens	54710
The Galleon's Gold	Luis Senarens	54709
Camperdown	Mary Griffith	54708
Going Afoot	Bayard Henderson Christy	54707
Perintö	Konrad Lehtimäki	54706	Finnish
The Sorceress	Victorien Sardou	54705
Marriage as a Trade	Cicely Hamilton	54704
Things to be Remembered in Daily Life	John Timbs                     54703
A Translation of Octavia, a Latin Tragedy, with Notes	54702
Gothic Architecture	Édouard Corroyer	54701
Oblomov	Ivan Goncharov	54700
The Last of The De Mullins	St. John Hankin	54699
Woodbarrow Farm	Jerome K. Jerome	54698
The Baitâl Pachchisi	John Platts and Duncan Forbes	54697
Happy England	Marcus B. Huish	54696
The New England Country	Clifton Johnson	54695
International Language and Science	L. Couturat, O. Jespersen,	54694
an International Language into Science
A Book for a Rainy Day	John Thomas Smith	54693
In the Far East	William Henry Davenport Adams	54692
Der Hodscha Nasreddin II. Band	Albert Wesselski	54691	German
Der Hodscha Nasreddin I. Band	Albert Wesselski	54690	German
The American Missionary, Volume 34, No. 6, June, 1880	Various	54689
The American Missionary, Volume 34, No. 4, April, 1880	Various	54688
The Ladies' Paradise	Émile Zola	54687
Piping Hot!	Émile Zola	54686
Half-A-Dozen Housekeepers	Kate Douglas Wiggin	54685
House	The-Medlar-Tree	Giovanni Verga	54684
Wild Irish Girl, Volumes I and II	Lady Sydney Morgan	54683
Zuñi Folk Tales	Frank Hamilton Cushing	54682
Kuolema	Konrad Lehtimäki	54681	Finnish
Peacemakers— Blessed and Otherwise	Ida M. Tarbell	54680
Geschichte der Philosophie im Islam	T. J. de Boer	54679	German
The Little Match Man	Luigi Barzini	54678
Jockele und seine Frau	Max Geißler                                   54677	German
Friendship Village Love Stories	Zona Gale                            54676
Harper's Round Table, March 10, 1896	Various	54675
White Motley	Max Pemberton	54674
Sir Harry	Archibald Marshall	54673
Les Bijoux Indiscrets, or, The Indiscreet Toys	Denis Diderot	54672
Lebenswende	Walter von Molo	54671	German
Pihai Travelog	Yong-he Yu	54670	Chinese
Kitty Alone, Volume 2 of 3	S. Baring Gould	54669
Kuolematon kuningatar	H. Rider Haggard	54668	Finnish
Two Centuries of Shipbuilding	Various	54667
International May Day and American Labor Day	Boris Reinstein	54666
The Law of Psychic Phenomena	Thomson Jay Hudson                      54665
Mother Goose's Bicycle Tour	M. A. Bonnell                            54664
Catalogue of Rudimentary, Scientific, Educational,	54663
A Defence of the Inquiry into Mesmerism & Phrenology	William Armes	54662
The Irish Penny Journal, Vol. 1 No. 29, January 16, 1841	Various	54661
Les chevaux de Diomède	Remy de Gourmont	54659	French
The Agony Column of the 'Times' 1800-1870	Various	54658
Phrases and Names Their Origins and Meanings	Trench H. Johnson	54657
Hurdy-Gurdy	Ottokar Schupp	54656	German
Arthur kuningas ja hänen jalot ritarinsa	Thomas Malory               54655	Finnish
The Sunken Isthmus	Luis Senarens	54654
Picture-Writing of the American Indians	Garrick Mallery	54653
to the Secretary of the Smithsonian Institution, 1888-89,
Government Printing Office, Washington, 1893, pages 3-822
History of Gujarát	James McNabb Campbell	54652
Fågelskytten och andra berättelser	Olof Högberg	54651	Swedish
Suffrage snapshots	Ida Husted Harper                                 54650
Dorothy Dale's School Rivals	Margaret Penrose                        54649
Frank Reade Jr. and His Engine of the Clouds	Luis Senarens           54648
Sam Steele's Adventures in Panama	Capt. Hugh Fitzgerald              54647
Report on the sanitary conditions of the labouring population            54646
The True Ministers of Christ Accredited	the Holy Spirit,	54645
Obedience to the Articles and Rubrics of the Church of England,	54644
Pictographs of the North American Indians. A preliminary paper,	54643
to the Secretary of the Smithsonian Institution, 1882-83,
Government Printing Office, Washington, 1886, pages 3-256
Theory & History of Historiography	Benedetto Croce	54642
The Charm of Gardens	Dion Clayton Calthrop                           54641
Novellen	Melchior Meyr	54640	German
The Naturalist's Repository, Volume 1 of 5	E. Donovan	54639
Julia and the Pet-Lamb	Anonymous	54638
Cornish Feasts and Folk-lore	M. A. Courtney	54637
The American Missionary, Volume 34, No. 2, February, 1880	Various	54636
My Life in China and America	Yung Wing                               54635
With a Camera in Majorca	Margaret D'Este                             54634
The Life of Robert, Lord Clive, Vol. 2 of 3	John Malcolm  	         54633
Boy Scout Explorers at Headless Hollow	Don Palmer	54632
100 Desert Wildflowers in Natural Color	Natt Noyes Dodge	54631
Camp Lenape on the Long Trail	Carl Saxon and Arthur Grove Day	54630
Frank Reade Jr. and His Electric Ice Ship	Luis Senarens	54629
History Teacher's Magazine, Vol. I, No. 2, October, 1909	Various	54628
The Scripture Club of Valley Rest	John Habberton                     54627
Being A Summary Statement Of The Investigation Made                      54626
Harper's Young People, March 7, 1882	Various                         54625
The Irish Penny Journal, Vol. 1 No. 28, January 9, 1841	Various	54624
The Common Objects of the Country	J. G. Wood	54623
Reports Relating to the Sanitary Condition of the City of London,	54622
Rude Stone Monuments in All Countries	James Fergusson	54620
Farewell Love!	Matilde Serao	54619
Aesthetic as science of expression and general linguistic,	54618
The Catholic World, Vol. 22, October, 1875, to March, 1876	Various	54617
The Mythology of the British Islands	Charles Squire	54616
The Miracles of Antichrist	Selma Lagerlöf	54615
The Land of Cockayne	Matilde Serao	54614
The Battle for Khe Sanh	Moyers S. Shore	54613
The Principles of Biology, Volume 1 of 2	Herbert Spencer	54612
Mental diseases; a public health problem	James Vance May	54611
Te Tohunga	Wilhelm Dittmer	54610
The Ohio Journal of Science, Vol. XVI, No. 1, November 1915	Various	54609
The Historical Record of The Fifth or Princess Charlotte	54607
Regiment in 1685; with its Subsequent Services to 1838
The Flower Garden	Ida Dandridge Bennett	54606
Nursery Lessons, in Words of One Syllable	Anonymous	54605
Being a Boy	Charles Dudley Warner	54604
La espressione dei sentimenti dei nostri volatili domestici,	54603	Italian
Ancient and Modern Furniture and Woodwork	John Hungerford Pollen	54602
A Treasury of Canadian Verse with Brief Biographical Notes,	54601
Journal de Eugène Delacroix, Tome 3	Eugène Delacroix	54600	French
The Case for Birth Control	Margaret H. Sanger	54599
The Crimson Sign	S. R. Keightley	54598
Fremde Straßen	Peter Rosegger	54597	German
Nelly Channell	Sarah Doudney	54596
Adventures of an Aide-de-Camp, Volume 3 of 3	James Grant	54595
Adventures of an Aide-de-Camp, Volume 2 of 3	James Grant	54594
Adventures of an Aide-de-Camp, Volume 1 of 3	James Grant	54593
Morsiuspuku	Alexandre Dumas, père	54592	Finnish
An English Girl in Japan	Ella M. Hart Bennett	54591
Talk of Uncle George to his Nephew about Draw Poker	Uncle George	54590
The American Missionary, Volume 33, No. 10, October, 1879	Various	54589
Bela	Mikhail Iurevich Lermontov	54588	Finnish
The Pope, the Kings and the People	William Arthur	54587
Die Ostereyer	Christoph von Schmid	54586	German
Mariner Mission to Venus	Jet Propulsion Laboratory	54585
The Irish Penny Journal, Vol. 1 No. 27, January 2, 1841	Various	54584
Nousukkaita	L. Onerva	54582	Finnish
The Kansas University Science Bulletin, Vol. 1, No. 1	Various        54581
The Forerunner	Kahlil Gibran                                         54580
The Stolen Aeroplane	Ashton Lamar	54579
The Life of Captain Sir Richard F. Burton	Isabel Burton	54578
A Wedding Trip	Emilia Pardo Bazán                                    54577
Lightning Conductors	Richard Anderson	54576
Redcoat Captain	Alfred Ollivant	54575
Lustreise ins Morgenland, Zweiter Theil (von 2)	Titus Tobler	54574	German
Lustreise ins Morgenland, Erster Theil (von 2)	Titus Tobler	54573	German
The Chronic Loafer	Nelson Lloyd	54572
Lärkan	Various	54571	Swedish
An Old Man's Darling	Mrs. Alex. McVeigh Miller	54570
Jane Austen and her Country-house Comedy	W. H. Helm	54569
A Handbook of Invalid Cooking	Mary A. Boland	54568
Bizarre Happenings Eyewitnessed Over Two Decades	Jianren Wu	54567	Chinese
Life in the Shifting Sands	Laurence B. White	54566
Der Vogelflug als Grundlage der Fliegekunst	Otto Lilienthal	54565	German
Some Stories of Old Ironsides	Holloway Halstead Frost	54564
The Irish Penny Journal, Vol. 1 No. 26, December 26, 1840	Various	54563
History Teacher's Magazine, Vol. I, No. 1, September, 1909	Various	54562
The Old East Indiamen	Edward Keble Chatterton	54561
Sewastopol	Leo N. Tolstoj	54560	German
Kirkkoisä Augustinuksen Tunnustukset	Saint Augustine	54559	Finnish
The Life of Henry Bradley Plant	G. Hutchinson Smyth	54558
Rough Ways Made Smooth	Richard A. Proctor	54557
Rahanvaihtajat	Upton Sinclair	54556	Finnish
Kreuz und Quer, Erster Band	Friedrich Gerstäcker	54555	German
History of the settlement of Upper Canada (Ontario)	William Canniff	54554
Zone Therapy	William H. Fitzgerald and Edwin F. Bowers	54553
Dutch and Flemish Furniture	Esther Singleton	54552
Chronique du crime et de l'innocence, t. 5/8,	54551	French
Ancient Civilizations of Mexico and Central America,	54550
Betsy Gaskins (Dimicrat), Wife of Jobe Gaskins (Republican),	54549
Poisonous Dwellers of the Desert	Natt Noyes Dodge	54548
Young Stowaways in Space	Richard Mace Elam	54547
Time and Clocks	Sir Henry Hardinge Cunynghame	54546
The Century Illustrated Monthly Magazine, June 1913	Various	54545
The Silent Battle	George Gibbs	54544
Antigone	Sophocles	54543	Finnish
Liberia	Frederick Starr	54542
The Works of Richard Hurd, Volume 6 of 8	              54541
Daughters of Destiny	L. Frank Baum                                   54540
The Works of Richard Hurd, Volume 5 of 8	             54539
Miss Esperance and Mr. Wycherly	L. Allen Harker	54538
Musical Instruments	Carl Engel	54537
Boy Scouts at Crater Lake	Walter Prichard Eaton	54536
The Changed Valentines	Elizabeth F. Guptill	54535
The Irish Penny Journal, Vol. 1 No. 25, December 19, 1840	Various	54534
The Cruise of the Dream Ship	Ralph Stock	54533
The Night-Side of Nature	Catherine Crowe	54532
Travels to Discover the Source of the Nile. Volume 3	James Bruce	54531
Knife-grinder's budget of pictures & poetry, for boys and girls,	54530
Phoebe Daring	L. Frank Baum	54529
La 628-E8	Octave Mirbeau	54528	French
Lincoln & other poems	Edwin Markham	54527
Religious Poems	Various	54526
A plain and literal translation of the Arabian nights	54525
Thousand Nights and a Night, Volume 6 of 17,
The Works of Richard Hurd, Volume 4 of 8	54524
Tor, A Street Boy of Jerusalem	Florence Morse Kingsley	54523
La Muerte Del Cisne	Carlos Reyles	54522	Spanish
La Incógnita	Benito Pérez Galdós	54521	Spanish
Harper's Round Table, March 3, 1896, Vol. XVII, No. 853	Various	54520
Observations and Reflections Made in the Course of a Journey	54519
through France, Italy, and Germany, Vol. 2 of 2,
The battle-fields of Ireland, from 1688 to 1691	John Boyle           54518
Laelius eli Ystävyydestä	Marcus Tullius Cicero                       54517	Finnish
Uusi pirtti	Arvi Järventaus                                          54516	Finnish
Instructions for Officers and Non-Commissioned Officers of	54515
The Works of Richard Hurd, Volume 3 of 8	54514
Harper's Young People, February 28, 1882	Various	54513
Venäläisiä talonpoikia	Anton Tshehov                                 54512	Finnish
Regina von Emmeritz	Zacharias Topelius                               54511	Finnish
The Athelings, Vol. 1 of 3	Margaret Oliphant                         54510
The Irish Penny Journal, Vol. 1 No. 24, December 12, 1840	Various    54509
The Santa Claus' Book of Games and Puzzles	John H. Tingley	54508
Russian Memories	Olga Novikoff	54507
The Birth and Babyhood of the Telephone	Thomas A. Watson	54506
Poems	William Anderson                                               54505
Master and Maid	L. Allen Harker	54504
Life of James Buchanan, Vol. 2 of )	George Tickner Curtis	54503
Vacation Rambles	Thomas Hughes	54502
Two Dianas in Somaliland	Agnes Herbert	54501
Journal of a West India Proprietor	Matthew Gregory Lewis	54500
In The Strange South Seas	Beatrice Grimshaw	54499
The Wise and Ingenious Companion in French and English	Abel Boyer	54498
Fort Concho	J. N. Gregory	54497
The Dreadnought Boys in Home Waters	Wilbur Lawton	54496
How to Teach Manners in the School-room	Julia M. Dewey	54495
Hai Gong Da Hong Pao Quan Zhuan	Anonymous	54494	Chinese
The Dungeons of Old Paris	Tighe Hopkins                              54493
Chester; A Sketch-Book	Richard Pike                                  54492
More Short Sixes"	H. C. Bunner                                      54491
Sweet Clover	Clara Louise Burnham	54490
Yksinäisiä	L. Onerva	54489	Finnish
The Secret Doctrine, Vol. 2 of 4	Helena Petrovna Blavatsky	54488
Texas Waterfowl Identification Guide	Central Flyway Council	54487
The Delinquent, Vol. IV, No. I, January, 1914	Various	54486
Symzonia	Adam Seaborn	54485
Cardinal Pole	William Harrison Ainsworth	54484
The Rapin	Henry De Vere Stacpoole	54483
Dictionnaire de la langue verte	Alfred Delvau	54482	French
Adelaide	Augusta von Wallenrodt, AKA Augusta von Goldstein	54481	German
Faery Lands of the South Seas	James Norman Hall	54479
Harper's Round Table, February 25, 1896	Various	54478
The Story of Live Dolls	Josephine Scribner Gates                     54477
The Art & Practice of Typography	Edmund G. Gress                     54476
Discoveries and Inventions of the Nineteenth Century,  	54475
New Zealand	Reginald Horsley                                         54474
Vanderdecken	Henry De Vere Stacpoole                                 54473
Rojohoppe viimene reis	Hjalmar Nortamo                             54472	Finnish
El Viaje a Nicaragua é Historia de mis libros	Rubén Darío            54471	Spanish
Tar Heel Tales	H. E. C. Bryant	54470
Alle guten Geister...	Anna Schieber	54469	German
Harper's Young People, February 21, 1882	Various	54468
Croquis d'Extrême-Orient, 1898	Claude Farrère	54467	French
Letters to Madame Hanska	Honoré de Balzac	54466
John Herring, Vol. 3 of 3	Sabine Baring-Gould	54465
John Herring, Vol. 2 of 3	Sabine Baring-Gould	54464
John Herring, Vol. 1 of 3	Sabine Baring-Gould	54463
Animal Behaviour	C. Lloyd Morgan	54462
Commercial Politics	Richard Henry Gretton	54461
Trial of the Major War Criminals Before the International	54460
Concerning Genealogies	Frank Allaben	54459
Vaiheita	August Strindberg	54458	Finnish
Kasvikon oppisanoja	Elias Lönnrot	54457	Finnish
De l'amour	Charles Baudelaire and Félix-François Gautier	54456	French
Light Science for Leisure Hours	Richard A. Proctor	54455
Dirty Dustbins and Sloppy Streets	H. Percy Boulnois	54454
Beyond the Hills of Dream	W. Wilfred Campbell	54453
The Bab Ballads	William Schwenck Gilbert	54452
Southern Literary Messenger, Vol. I, No. 6, February, 1835	Various 	54451
Tschandala	August Strindberg                                         54450	Finnish
Suomen Kansan Vanhoja Runoja ynnä myös Nykyisempiä Lauluja 1,	54449	Finnish
Hastings & Environs	H. G. Hampton                                    54448
Vankilasta ja Siperiasta	Oskar Relander                              54447	Finnish
The Radio Boys Seek the Lost Atlantis	Gerald Breckenridge	54446
The Hospital Murders	Means Davis and Augusta Tucker Townsend	54445
The Real Captain Kidd	Cornelius Neale Dalton	54444
Hans excellens av Madagaskar	Anders Eje	54443	Swedish
The Irish Penny Journal, Vol. 1 No. 23, December 5, 1840	Various	54442
The British Navy in Battle	Arthur H. Pollen                          54441
Jüdisches Leben	Leopold von Sacher-Masoch                            54440
 [Language: German
A Girl of Virginia	Lucy M. Thruston and Charles Grunwald             54439
Duell-Codex	Gustav Hergsell                                          54438	German
The Ship of Coral	H. de Vere Stacpoole                               54437
Teatro selecto, tomo 1 de 4	Pedro Calderón de la Barca               54436	Spanish
Aurora Leigh	Elizabeth Barrett Browning	54435C
Heartbreak House	George Bernard Shaw	54434C
First Chinese Traveler to the United States	Shao Xiang Lin	54433
& Relevant American Press Reports, 1847-1850
Isabel Clarendon, Volume II	George Gissing	54432
Isabel Clarendon, Volume I	George Gissing	54431
Las noches mejicanas	Gustave Aimard	54430	Spanish
American Missionary, Volume 33, No. 9, September, 1879	Various	54429
Samoafahrten	Otto Finsch	54428	German
Interessante Wanderungen	das Sächsische Ober-Erzgebirge,	54427	German
Modern Musical Drift	William James Henderson	54426
The English-American his Travail	Sea and Land: or,	54425
Lotta Schmidt and other stories	Anthony Trollope                     54424
Realidad	Benito Pérez Galdós                                         54423
 [Language: Spanish
Californische Skizzen	Friedrich Gerstäcker                           54422
 [Language: German
Journal de Eugène Delacroix, Volume 2	Eugène Delacroix	54421	French
The Practical Astronomer	Thomas Dick	54420
La Légende des sexes	Edmond Haraucourt	54419	French
Mr. Wycherly's Wards	L. Allen Harker	54418
Military History Lectures Delivered at Trinity College,	54417
The Irish Penny Journal, Vol. 1 No. 22, November 28, 1840	Various	54416
Nuggets in the Devil's Punch Bowl and Other Australian Tales,	54415
Courtship of Miles Standish	Henry W. Longfellow                      54414
Bill Bolton and Hidden Danger	Noel Sainsbury	54413
Maerten Harpertsz. Trom	Johannes Hendrik Been	54412	Dutch
Gunpowder and Ammunition their Origin and Progress	Henry W. L. Hime	54411
Shakespeare and the Stage	Maurice Jonas	54410
New England Joke Lore	Arthur George Crandall	54409
Valittuja kertomuksia	Rudyard Kipling	54408	Finnish
Gleaning of a Mystic	Max Heindel	54407
The Religious Thought of the Greeks	Clifford Herschel Moore	54406
Motor Tours in the West Country	Mrs. Rodolph Stawell	54405
Mehalah	Sabine Baring-Gould	54404
Where The Twain Meet	Mary Gaunt	54403
A Broken Journey, Illustrated	Mary Gaunt	54402
A Woman In China	Mary Gaunt	54401
Alone in West Africa	Mary Gaunt	54400
The Standard Lighting Company Catalogue for 1901	Standard Lighting	54399
Kertomuksia Intiasta	Rudyard Kipling	54398	Finnish
Lois psychologiques de l'évolution des peuples	Gustave Le Bon	54397	French
The Irish Penny Journal, Vol. 1 No. 21, November 21, 1840	Various	54396
Nirvana	Ilmari Kianto	54395	Finnish
A Biography of the Signers of the Declaration of Independence,	54394
Prétextes	André Gide	54393	French
A Complete History of Music	Winton James Baltzell	54392
Schilderungen des Treibens im Leben und Handel in den Vereinigten	54391	German
Köyhäin aarteet	Maurice Maeterlinck	54390	Finnish
Nelson The Newsboy	Horatio Alger Jr., Arthur M. Winfield	54389
The Irish Penny Journal, Vol. 1 No. 20, November 14, 1840	Various	54388
Histoires souveraines	Auguste de Villiers de L'Isle-Adam	54387	French
Paris en América	Renato Lefebvre	54386	Spanish
Pyhä viha	Ilmari Kianto	54385	Finnish
Dramatized Readings: Recitations in Poetry and Prose	Lucy A. Yendes	54384
The American Railway	Thomas Curtis Clarke,	54383
Inari	L. Onerva	54382	Finnish
Collecting Old Glass	J. H. Yoxall	54381
A Battle of the Books, recorded	an unknown writer for the use	54380
Vanha pappila	Ilmari Kianto	54379	Finnish
Through the Telescope	James Baikie	54378
Catholic World, Vol. 21, April, 1875, to September, 1875	Various	54377
Pleasant Ways in Science	Richard A. Proctor	54376
Red Spider, Vol. 2 of 2	Sabine Baring-Gould	54375
Red Spider, Vol. 1 of 2	Sabine Baring-Gould	54374
The state of the dead and the destiny of the wicked	Uriah Smith      54373
The Royal Pastime of Cock-fighting	Robert Howlett	54372
With Force and Arms	Howard R. Garis	54371
What's What in America	Eugene V. Brewster	54370
The Romance of Madame Tussaud's	John Theodore Tussaud	54369
Die Harpyen von Madrit, oder die Postkutsche,	54368	German
A Blundering Boy	Bruce Weston Munro	54367
A Colonial Reformer, Vol. 3 of 3	Rolf Boldrewood	54366
A History of the Old English Letter Foundries	Talbot Baines Reed     54365
The Brighton Boys in the Submarine Treasure Ship,	54364
Kolmimasto Tulevaisuus eli elämää Pohjolassa	Jonas Lie             54363	Finnish
Lakiasia	Kaarle Karikko                                              54362	Finnish
The Works of John Dryden, Now First Collected in Eighteen Volumes;	54361
Vol. 12 of 18
The Silicon Jungle	David H. Rothman	54360C
Suomalaisia	Niilo E. Wainio	54359	Finnish
Gettysburg	Elsie Singmaster	54358
Lehrbuch der Physik zum Schulgebrauche	Wilhelm Winter	54357	German
Runeberg Suomen kansan runoilijana	Valfrid Vasenius	54356	Finnish
Harrow; A Sketch-Book	Walter M. Keesey                               54355
Glasgow; A Sketch-Book	John Nisbet                                   54354
Des Vaters Sünde, der Mutter Fluch	Heinrich Clauren                  54353	German
Istruzioni popolari per la buona tenuta dei bachi da seta	Tito Poggi 54352	Italian
In Beaver Cove and Elsewhere	Matt Crim	54351
Printing in Relation to Graphic Art	George French	54349
The Slav Nations	Srgjan Pl. Tucic	54348
Autobiography of Sir John Rennie, F. R. S., Past President	54347
Queens of the Renaissance	M. Beresford Ryley	54346
Abridgement of the Debates of Congress, from 1789 to 1856,	54345
Bristol; A Sketch-Book	Dorothy E. G. Woollard                        54344
Väärällä uralla	Ilmari Kianto                                        54343	Finnish
Sadan prosentin patriootti	Upton Sinclair                            54342	Finnish
Vertraute Briefe an eine Freundin	Christian Garve                    54341	German
The Art of Architectural Modelling in Paper	T. A. Richardson         54340
L'ancien régime et la révolution	Alexis de Tocqueville	54339	French
Q-Ships and Their Story	Edward Keble Chatterton	54338
Reminiscences of Joseph the Prophet	Edward Stevenson	54337
Bath and Wells; A Sketch-Book	D. S. Andrews                          54336
The Women of Mormondom	Edward W. Tullidge	54335
Europe in the Middle Ages	Ierne Lifford Plunket	54334
Miriam	Daniel Frederick Edward Sykes	54333
The Æsculapian Labyrinth Explored	Gregory Glyster	54332
Life of a Pioneer	James S. Brown	54331
How Women May Earn a Living	Mercy Grogan	54330
Symmes's Theory of Concentric Spheres	Anonymous	54329
York; A Sketch-Book	Gordon Home                                      54328
Winchester; A Sketch-Book	Gordon Home                                54327
The Thames	R. Sharpley                                               54326
Surrey; A Sketch-Book	R. S. Austin                                   54325
Stratford-on-Avon; A Sketch-Book	Gordon Home                         54324
Paris; A Sketch-Book	Eugène Béjot                                    54323
Norwich; A Sketch-Book	E. V. Cole                                    54322
Newcastle-Upon-Tyne; A Sketch-Book	Robert J. S. Bertram              54321
London; A Sketch-Book	Lester George Hornby                           54320
Liverpool; A Sketch-Book	Sam J. M. Brown                             54319
The English Lakes; A Sketch-Book	Gordon Home                         54318
Isle of Wight; A Sketch-Book	Dorothy E.G. Woollard                   54317
Durham; A Sketch-Book	Robert J. S. Bertram                           54316
Cardiff; A Sketch-Book	Douglas S. Andrews                            54315
Bruges; A Sketch-Book	Joseph Pike                                    54314
Ampleforth College; A Sketch-Book	Joseph Pike                        54313
Mons, Anzac and Kut	Aubrey Herbert	54312
Collection complète des oeuvres de l'Abbé de Mably, ouvrage 4            54311	French
Kitty Alone, Vol. 1 of 3	S. Baring Gould                             54310
Ancient Apostles	David O. McKay                                      54309
Les poilus canadiens	J. A. Holland                                   54308	French
Tarzanin paluu	Edgar Rice Burroughs                                  54307	Finnish
Mirdja	L. Onerva	54306	Finnish
Meine Tante Anna	Hermine Villinger	54305	German
John Holdsworth	William Clark Russell	54303
College Men Without Money	Carl Riddle	54302
Biografia di Giuseppe Garibaldi	Giovanni Battista Cuneo	54301	Italian
Marks' first lessons in geometry	Bernhard Marks	54300
Copyright Renewals: Artwork 1960-1964	The U. S.	54299
Scrap Book of Mormon Literature, Vol. 2 of 2	Various	54298
The Irish Penny Journal, Vol. 1 No. 19, November 7, 1840	Various	54297
German Army in Belgium, the White Book of May 1915	E. N. Bennett     54296
Short Reasons for Communion with the Church of England,	54295
Charlie Codman's Cruise	Horatio Alger	54294
The American Missionary, Vol. 33, No. 8, August, 1879	Various	54293
What Jesus Taught	Osborne J. P. Widtsoe	54292
Conscience and Sin	S. Baring-Gould                                   54291
The Irish Penny Journal, Vol. 1, No. 18, October 31, 1840	Various	54290
Three Days on the Ohio River	William A. Alcott	54289
The life and times of George Villiers, duke of Buckingham,	54288
The life and times of George Villiers, duke of Buckingham,	54287
The life and times of George Villiers, duke of Buckingham,	54286
El Sabor de la Venganza	Baroja Pío	54285	Spanish
William Dampier	William Clark Russell	54284
De Sobremesa; crónicas, Primera Parte (de 5)	Jacinto Benavente	54283	Spanish
Socialismo y ciencia positiva	Enrique Ferri	54282	Spanish
The Voiage and Travayle of Sir John Maundeville Knight,                	54281
Ancient Egyptian, Assyrian, and Persian costumes and decorations,	54280
A History of the Peninsula War	Charles Oman                          54279
